X,Y,OBJECTID,County,PSC_NUMBER,SCHOOL_NAME,STREET,CITY,STATE,ZIP,Grades,School_Type
-8553545.9228,4720183.0683,575,Prince George's,16.194,Duval High,9880 GOOD LUCK ROAD,LANHAM,MD,20706,9-12,High
-8551178.0272,4719000.6453,576,Prince George's,16.202,Glenn Dale Elementary,6700 GLENN DALE ROAD,GLENN DALE,MD,20769,K-5,Elementary
-8556879.8664,4710929.509,577,Prince George's,16.212,Kenmoor Middle,2500 KENMOOR DRIVE,LANDOVER,MD,20785,6-8,Middle
-8550913.0667,4706077.6805,578,Prince George's,16.188,Kettering Elementary,11000 LAYTON STREET,UPPER MARLBORO,MD,20774,PreK-5,Elementary
-8561567.8626,4703239.0307,579,Prince George's,16.224,Brooks (Doswell E.) Elementary,1301 BROOKE ROAD,CAPITOL HEIGHTS,MD,20743,PreK-6,Elementary
-8542300.6131,4719762.3195,580,Prince George's,16.223,Chapel Forge Early Childhood Center,12711 MILAN WAY,BOWIE,MD,20715,PreK,Special Ed.
-8542840.2943,4720743.9741,581,Prince George's,16.201,Samuel Ogle Middle,4111 CHELMONT LANE,BOWIE,MD,20715,6-8,Middle
-8558619.7442,4718004.9831,582,Prince George's,16.241,Lamont Elementary,7101 GOOD LUCK ROAD,NEW CARROLLTON,MD,20784,PreK-5,Elementary
-8557028.7157,4712743.5058,583,Prince George's,16.239,Glenarden Woods Elementary,7801 GLENARDEN PARKWAY,LANHAM,MD,20706,2-5,Elementary
-8553925.5005,4717062.555,584,Prince George's,16.200,Seabrook Elementary,6001 SEABROOK ROAD,LANHAM,MD,20706,PreK-5,Elementary
-8561563.1126,4716967.1837,585,Prince George's,16.183,Wirt (William) Middle,62ND PLACE & TUCKERMAN STREET,RIVERDALE,MD,20737,6-8,Middle
-8560263.0808,4715607.2447,586,Prince George's,16.189,Beacon Heights Elementary,6929 FURMAN PARKWAY,RIVERDALE,MD,20737,PreK-6,Elementary
-8562518.9027,4703134.5812,587,Prince George's,16.226,Hall (William W.) Academy,5200 MARLBORO PIKE,CAPITOL HEIGHTS,MD,20743,PreK-8,PreK-8
-8551575.6191,4687178.6927,588,Prince George's,16.227,Rosaryville Elementary,9925 ROSARYVILLE ROAD,UPPER MARLBORO,MD,20772,PreK-5,Elementary
-8563507.6521,4700560.3915,589,Prince George's,16.232,Suitland Elementary,4650 HOMER AVENUE,SUITLAND,MD,20746,PreK-6,Elementary
-8560693.7812,4721366.6828,590,Prince George's,16.184,Kennedy (Dora) French Immersion,8950 EDMONSTON ROAD,GREENBELT,MD,20770,K-8,Elementary/Middle
-8559134.855,4707882.485,591,Prince George's,16.022,Hoyer (Judith P.) Montessori,929 HILL ROAD,LANDOVER,MD,20785-4336,PreK-8,PreK-8
-8570817.4585,4690760.3974,592,Prince George's,16.031,Oxon Hill Elementary,7701 LIVINGSTON ROAD,OXON HILL,MD,20745,PreK-5,Elementary
-8494474.4642,4719086.1977,593,Queen Anne's,17.021,Bayside Elementary,301 CHURCH STREET,STEVENSVILLE,MD,21666,3-5,Elementary
-8561782.9535,4713993.01,594,Prince George's,16.218,Port Towns Elementary,4351 58TH AVENUE,BLADENSBURG,MD,20710,PreK-6,Elementary
-8552675.3604,4708396.3302,595,Prince George's,16.219,Just (Ernest Everett) Middle,1300 CAMPUS WAY NORTH,MITCHELLVILLE,MD,20721,6-8,Middle
-8544753.4746,4623794.2226,596,St. Mary's,18.024,Dynard Elementary,23510 BUSHWOOD ROAD,CHAPTICO,MD,20621,PK-5,Elementary
-8443466.4912,4575841.0902,597,Somerset,19.005,Carter G. Woodson Elementary School,281-A WOODSON SCHOOL ROAD,CRISFIELD,MD,21817,PK-5,Elementary
-8652972.631,4816864.859,598,Washington,21.016,Marshall St. Elementary,1350 MARSHALL STREET,HAGERSTOWN,MD,21740,PreK-12,Special Ed.
-8539360.8166,4697015.5429,599,Prince George's,16.209,Patuxent Elementary,4410 BISHOPMILL DRIVE,UPPER MARLBORO,MD,20772,PreK-5,Elementary
-8537552.629,4769085.3942,600,Baltimore City,30.134,Calvin Rodwell  PK-8 # 256,3501 HILLSDALE RD,BALTIMORE,MD,21207,PK-8,Elementary/Middle
-8561272.2012,4699464.9844,601,Prince George's,16.191,Massie (Samuel P.) Academy,3301 REGENCY PARKWAY,FORESTVILLE,MD,20747,PreK-8,PreK-8
-8559764.8052,4707884.6766,602,Prince George's,16.192,Highland Park Elementary,6501 LOWLAND DRIVE,LANDOVER,MD,20785,PreK-6,Elementary
-8560687.046,4694994.5301,603,Prince George's,16.176,Princeton Elementary,6101 BAXTER DRIVE,SUITLAND,MD,20746,PreK-5,Elementary
-8560958.2355,4717429.1745,604,Prince George's,16.177,Parkdale High,6001 GOOD LUCK ROAD,RIVERDALE,MD,20737,9-12,High
-8565483.3685,4715973.9013,605,Prince George's,16.178,Hyattsville Middle,6001 42ND AVENUE,HYATTSVILLE,MD,20781,6-8,Middle
-8562460.1473,4713417.3749,606,Prince George's,16.180,Bladensburg High,4200 57TH STREET,BLADENSBURG,MD,20710,9-12,High
-8553960.0413,4719954.8648,607,Prince George's,16.181,Goddard (Robert) Montessori,9850 GOOD LUCK ROAD,SEABROOK,MD,20706,PreK-8,PreK-8
-8568710.7019,4721682.5808,608,Prince George's,16.169,Adelphi Elementary,8820 RIGGS ROAD,ADELPHI,MD,20783,PreK-6,Elementary
-8570339.0245,4716857.2799,609,Prince George's,16.170,Ridgecrest Elementary,6120 RIGGS ROAD,HYATTSVILLE,MD,20783,PreK-6,Elementary
-8569267.4591,4676937.6695,610,Prince George's,16.172,Accokeek Academy Annex (H. Ferguson),14500 BERRY ROAD,ACCOKEEK,MD,20607,K-4,Elementary
-8567131.045,4697406.9676,611,Prince George's,16.175,Hillcrest Heights Elementary,4305 22ND PLACE,TEMPLE HILLS,MD,20748,PreK-5,Elementary
-8557438.735,4709037.726,612,Prince George's,16.161,Paca (William) Elementary,7801 SHERIFF ROAD,LANDOVER,MD,20785,PreK-5,Elementary
-8563895.6675,4713090.117,613,Prince George's,16.163,Annapolis Road Academy,5150 ANNAPOLIS ROAD,BLADENSBURG,MD,20710,9-12,High
-8554525.534,4712240.4334,614,Prince George's,16.164,Ardmore Elementary,9301 ARDWICK ARDMORE ROAD,SPRINGDALE,MD,20774,PreK-5,Elementary
-8567243.3286,4694471.3382,615,Prince George's,16.165,Dent (J. Frank) Elementary,2700 CORNING AVENUE,FORT WASHINGTON,MD,20744,PreK-6,Elementary
-8559183.033,4706782.9474,616,Prince George's,16.166,Carmody Hills Elementary,401 JADELEAF AVENUE,CAPITOL HEIGHTS,MD,20743,PreK-5,Elementary
-8562084.5784,4714878.4815,617,Prince George's,16.155,Templeton Elementary,6001 CARTERS LANE,RIVERDALE,MD,20737,PreK-5,Elementary
-8562955.7396,4693295.6814,618,Prince George's,16.156,Marshall (Thurgood) Middle,4909 BRINKLEY ROAD,TEMPLE HILLS,MD,20748,6-8,Middle
