  Daily Lake Average Surface Water Temperature
                     From
 Great Lakes Surface Environmental Analysis maps

--------------------------------------------------------
                  Surf. Water Temp. (degrees C)

Year Day    Sup.   Mich.   Huron    Erie    Ont.  St.Clr
2022 180    4.82   15.95   13.37   20.56   17.62   21.08
2022 181    5.10   16.31   13.71   20.75   17.94   21.10
2022 182    5.19   16.53   14.05   20.98   18.38   21.25
2022 183    5.24   16.82   14.26   21.21   18.71   21.42
2022 184    5.36   17.34   14.54   21.42   18.83   21.76
2022 185    5.50   17.71   14.82   21.59   19.06   21.88
2022 186    5.71   18.05   15.14   21.73   19.45   22.09
2022 187    5.96   18.24   15.37   21.79   19.78   22.09
2022 188    6.18   18.39   15.61   21.86   19.99   21.96
2022 189    6.43   18.64   16.02   21.94   20.11   21.98
2022 190    6.71   18.79   16.29   21.96   20.17   22.03
2022 191    6.94   18.92   16.53   22.03   20.35   22.18
2022 192    6.98   18.96   16.76   22.12   20.60   22.34
2022 193    6.97   19.01   16.90   22.24   20.68   22.42
2022 194    7.03   19.13   17.12   22.39   20.79   22.40
2022 195    7.22   19.22   17.36   22.57   21.00   22.48
2022 196    7.61   19.35   17.63   22.68   21.31   22.57
2022 197    8.02   19.58   18.09   22.91   21.86   22.79
2022 198    8.45   20.06   18.66   23.10   22.06   23.24
2022 199    8.73   20.40   19.26   23.28   22.11   23.69
2022 200    8.85   20.51   19.55   23.45   22.27   23.92
2022 201    8.90   20.52   19.46   23.61   22.69   24.10
2022 202    8.95   20.57   19.27   23.71   22.78   24.19
2022 203    8.96   20.73   19.37   23.84   22.86   24.24
2022 204    8.92   20.75   19.46   23.91   22.87   24.24
2022 205    8.76   20.65   19.35   23.89   22.74   24.15
2022 206    8.65   20.57   19.16   23.91   22.54   24.09
2022 207    9.27   20.69   19.13   23.93   22.23   24.00
2022 208    9.78   20.81   19.04   23.97   22.00   23.93
2022 209    9.60   20.83   18.96   24.03   22.01   23.90
2022 210    9.63   20.87   18.91   24.01   21.95   23.81
2022 211    9.95   21.05   18.98   24.04   21.90   23.84
2022 212   10.16   21.15   19.15   24.13   22.00   23.98
2022 213   10.33   21.14   19.24   24.17   22.25   24.02
2022 214   10.53   21.19   19.25   24.15   22.37   23.91
2022 215   10.88   21.26   19.36   24.23   22.54   23.91
2022 216   11.11   21.30   19.51   24.54   23.12   24.25
2022 217   11.30   21.49   19.70   24.89   23.70   24.69
2022 218   11.47   21.67   19.90   25.08   24.10   24.98
2022 219   11.62   21.62   19.99   25.19   24.16   25.11
2022 220   11.86   21.46   19.99   25.13   24.01   24.91
2022 221   12.06   21.41   20.01   25.00   23.75   24.73
2022 222   12.17   21.42   20.02   24.98   23.62   24.62
2022 223   12.29   21.35   19.89   24.80   23.32   24.29
2022 224   12.66   21.28   19.86   24.59   23.06   23.90
2022 225   13.23   21.23   19.97   24.49   22.96   23.68
2022 226   13.89   21.13   20.11   24.40   22.96   23.46
2022 227   14.47   21.02   20.42   24.26   23.10   23.15
2022 228   14.96   21.00   20.65   24.20   23.29   23.04
2022 229   15.49   21.17   20.88   24.20   23.43   23.10
2022 230   15.90   21.35   21.11   24.24   23.56   23.30
2022 231   16.19   21.41   21.28   24.34   23.69   23.51
2022 232   16.34   21.47   21.38   24.41   23.83   23.52
2022 233   16.47   21.55   21.51   24.38   23.86   23.45
2022 234   16.66   21.68   21.64   24.31   23.83   23.44
2022 235   16.91   21.84   21.71   24.31   23.82   23.59
2022 236   16.88   21.88   21.67   24.34   23.81   23.74
2022 237   16.61   21.76   21.48   24.40   23.80   23.81
2022 238   16.50   21.66   21.22   24.37   23.74   23.71
2022 239   16.45   21.65   21.08   24.32   23.67   23.66
2022 240   16.26   21.65   21.02   24.32   23.63   23.68
2022 241   16.04   21.65   20.96   24.31   23.64   23.67
2022 242   15.69   21.60   20.78   24.16   23.50   23.48
2022 243   15.48   21.59   20.56   24.05   23.25   23.33
2022 244   15.44   21.63   20.36   23.99   22.96   23.30
2022 245   15.46   21.63   20.32   23.94   22.74   23.32
2022 246   15.33   21.56   20.33   23.87   22.78   23.44
2022 247   15.33   21.43   20.22   23.76   22.75   23.26
2022 248   15.53   21.33   20.04   23.58   22.52   22.83
2022 249   15.79   21.38   20.03   23.39   22.21   22.54
2022 250   16.08   21.46   20.15   23.32   22.03   22.47
2022 251   16.15   21.50   20.32   23.39   21.99   22.55
2022 252   16.02   21.47   20.35   23.49   21.97   22.70
2022 253   15.88   21.41   20.37   23.44   21.93   22.82
2022 254   15.83   21.24   20.32   23.20   21.72   22.73
2022 255   15.87   20.84   20.18   22.87   21.49   22.40
2022 256   15.82   20.43   20.04   22.60   21.41   22.12
2022 257   15.67   20.21   19.93   22.41   21.26   21.99
2022 258   15.57   20.13   19.83   22.26   21.13   21.85
2022 259   15.46   20.21   19.79   22.22   20.96   21.77
2022 260   15.25   20.27   19.78   22.32   20.76   21.89
2022 261   15.00   20.32   19.80   22.38   20.66   22.00
2022 262   14.92   20.31   19.74   22.34   20.55   22.09
2022 263   15.07   20.28   19.71   22.27   20.35   21.99
2022 264   14.85   20.12   19.63   22.13   20.23   21.66
2022 265   14.20   19.77   19.36   21.86   19.97   21.16
2022 266   13.69   19.35   18.94   21.52   19.56   20.57
2022 267   13.52   18.92   18.56   21.19   19.30   20.03
2022 268   13.22   18.37   18.00   20.60   19.06   19.07
2022 269   12.83   17.88   17.41   19.96   18.58   18.25
2022 270   12.48   17.38   16.93   19.37   18.09   17.39
2022 271   12.27   16.93   16.59   18.87   17.58   16.81
2022 272   12.19   16.67   16.43   18.66   17.29   16.59
2022 273   12.19   16.55   16.39   18.52   17.16   16.51
2022 274   12.11   16.48   16.26   18.23   17.11   16.40
2022 275   12.02   16.42   16.09   17.93   16.97   16.22
2022 276   11.95   16.40   15.96   17.79   16.84   16.17
2022 277   11.88   16.32   15.89   17.70   16.76   16.22
2022 278   11.80   16.23   15.83   17.65   16.70   16.28
